Molecule,Geometry_Param,E_HF,E_FCI,E_CISD,V_Identity,V_Optimized,a,b,c,Sum_CommSq_Identity,Sum_CommSq_Optimized,Sum_Sexp_Identity,Sum_Sexp_Optimized,Coarse_Entropy_Identity,Coarse_Entropy_Optimized,Fine_Entropy_Identity,Fine_Entropy_Optimized,Edec_Identity,Edec_Optimized,Ecoupled_Identity,Ecoupled_Optimized,Kcoupled_Identity,Kcoupled_Optimized,EBO_Identity,EBO_Optimized,NumSectors_Identity,NumSectors_Optimized,DenseDiagnosticsSkipped,Workflow
lih,0.8,-7.615770161235988,-7.63416732932433,-7.634156208596231,0.001982743757406448,4.4019113797024206e-05,0.4084104139734395,0.40841039752598846,-0.8163344173503331,0.001818784865564537,0.00045936120982099216,0.004878136907959368,0.0010806002263358278,0.04056552088200449,0.10509250517404196,0.04357992540012395,0.10509250517404187,-7.631187172804623,-7.6154729762112465,-7.633552115751829,-7.633732528664718,42,45,-7.631187172804619,-7.634167329324325,31,495,False,shared_abc
lih,1.3777777777777778,-7.859189397713697,-7.876911335490261,-7.876900814917983,0.0024126239571891765,1.521358443914641e-05,0.4084171309457583,0.40841702349143116,-0.8163277418245903,0.001221589525225016,0.00012066848168873549,0.005943372302636581,0.0010501167868075152,0.04790326248822922,0.09692838217070274,0.05155336280841081,0.09692838217070252,-7.873420601274112,-7.8587832957532555,-7.876794002134346,-7.876708573835658,42,45,-7.873420601274115,-7.876911335490205,31,495,False,shared_abc
lih,1.9555555555555557,-7.835576330467096,-7.864346689861569,-7.86432589047468,0.007048331956352483,2.068800769037746e-05,0.4083566190094625,0.4083591009937928,-0.8163869893296328,0.002193854482310462,0.00014717125313712222,0.01756265805325058,0.0007081370552304625,0.11767703229744936,0.17850844044442357,0.13090724936929596,0.17850844044442357,-7.856785996309382,-7.834571013954031,-7.863934315888741,-7.864056503162769,37,36,-7.85678599630939,-7.864346689861575,31,495,False,shared_abc
lih,2.533333333333333,-7.766707395102329,-7.8215464188477695,-7.821496814150675,0.026182971528973767,2.8869043720065746e-05,0.40830125374564025,0.4083031320300938,-0.8164426731645977,0.005896146810354459,0.00017983620445390075,0.06864242728474326,0.0003941351044775987,0.3445685026632209,0.37313405836051033,0.4141237880992123,0.37313405836051017,-7.799383807526944,-7.762911877805511,-7.820594196614526,-7.820847174100031,34,24,-7.799383807526943,-7.821546418847729,31,495,False,shared_abc
lih,3.1111111111111116,-7.698693582110816,-7.795493701951877,-7.795394570617165,0.05038047402214797,3.557975992865607e-05,0.4082824112617819,0.4082811854466096,-0.8164630709741724,0.012749534190034946,0.00020597078886015112,0.14274639515061657,0.00028821777437915694,0.5903251032331146,0.5796711803111645,0.7933912529105396,0.5796711803111645,-7.738410142676781,-7.7751988371445275,-7.795211397676835,-7.795024944570169,45,18,-7.7798749885213025,-7.79549370195189,31,495,False,shared_abc
lih,3.688888888888889,-7.645969205987809,-7.786174041253657,-7.78604151789954,0.042294805366597146,3.729726769378504e-05,0.408275332210895,0.40827639745909533,-0.8164690051593545,0.012162188208860208,0.00021342331298974135,0.11610952302742975,0.0002568138389781763,0.5262871649993139,0.6643210466776968,0.6313052608236107,0.6643210466776969,-7.733535421378972,-7.78091294915409,-7.785874456374656,-7.785818907361071,45,6,-7.7335359287404195,-7.786174041253638,31,495,False,shared_abc
lih,4.266666666666667,-7.610622604991087,-7.783418702210546,-7.783272697880988,0.02178429025749667,3.753593052412375e-05,0.40827354591145476,0.4082751655446261,-0.8164705144145716,0.00619207310034871,0.00021493710027463414,0.056118845607141796,0.00024834553781833313,0.3165961811767534,0.6872258986081592,0.3344159662750936,0.6872258986081591,-7.759997771746387,-7.781893436333169,-7.782496812604199,-7.783096996386105,30,6,-7.7792567423728345,-7.783418702210522,31,495,False,shared_abc
lih,4.844444444444445,-7.562424836518633,-7.782662812561515,-7.782502795924918,0.00368729517386118,3.757294128205044e-05,0.4082739754708447,0.40827396585234876,-0.8164708995184258,0.0009091216698833265,0.00021566126007364024,0.009128257914601113,0.0002461256732381814,0.06435265263063723,0.692966185074096,0.06648893206574964,0.692966185074096,-7.781976154178544,-7.782072569398512,-7.781976154178546,-7.782072569398512,1,1,-7.782115258556542,-7.782662812561488,31,495,False,shared_abc
lih,5.4222222222222225,-7.3918335202194205,-7.782472246946058,-7.78240793063753,0.0030492777130713337,9.062461216265967e-05,0.455366927905606,0.4553669196310072,-0.7650372079027126,0.00026690661169703246,0.00022088266306330217,0.8159498995004987,1.0562955780975438,0.05551294502607502,0.6962735521856703,0.05575512475817466,0.6962735521856704,-7.781413244752414,-7.782103090567558,-7.782135972737071,-7.782103090567558,5,1,-7.781413244792427,-7.782472246946,31,495,False,shared_abc
lih,6.0,-7.3822567733800115,-7.782428950565256,-7.782365381403969,0.0015838550374258336,4.61980961234292e-05,0.4399878986973301,0.43998790438727775,-0.7828290317769262,0.00023550752378227854,0.0002024291775131733,0.8164034984718288,0.9770978466889825,0.031502101456942835,0.001803032694537422,0.0316237254662748,0.0018030326951905494,-7.781747183362386,-7.782107037601777,-7.781747183362386,-7.782107037601775,1,1,-7.781747451696612,-7.782160407966288,31,90,False,shared_abc
